Unnamed: 0,alpha
7612,0.0
2755,0.0
7843,0.0
13806,0.0
9180,0.0
13451,1.0
2188,0.0
3622,0.0
10322,0.0
8740,-1.0
6950,0.0
6341,0.0
3904,0.0
12639,0.0
12076,0.0
15251,0.0
879,0.0
2645,0.0
4827,0.0
8063,-1.0
6528,1.0
909,0.0
11005,0.0
8185,0.0
9912,0.0
9453,0.0
7382,0.0
630,0.0
8237,0.0
3182,0.0
17298,0.0
5253,0.0
10871,0.0
6261,0.0
6358,0.0
10060,0.0
2504,0.0
11708,0.0
12460,0.0
5278,0.0
6072,0.0
6822,0.0
5830,0.0
12599,0.0
2318,0.0
9731,0.0
16878,0.0
594,0.0
6503,0.0
15160,0.0
5258,0.0
5638,0.0
10645,0.0
1410,0.0
8647,-1.0
13457,0.0
13440,0.0
15591,0.0
9975,0.0
12608,0.0
14058,-1.0
9305,0.0
3235,0.0
11464,0.0
10507,1.0
8882,1.0
9573,0.0
7217,0.0
14751,0.0
1655,1.0
14408,0.0
15343,0.0
7840,0.0
7515,0.0
2169,0.0
2120,0.0
2459,0.0
9617,0.0
15501,0.0
5317,0.0
11996,0.0
9852,0.0
14893,0.0
13497,0.0
5137,0.0
14557,0.0
14502,0.0
9611,0.0
3657,0.0
4352,0.0
10105,0.0
809,0.0
14045,1.0
12333,0.0
1586,1.0
8104,0.0
13028,0.0
16499,0.0
5310,0.0
3074,0.0
16282,0.0
2257,0.0
15478,0.0
15676,0.0
2394,0.0
14073,0.0
9845,0.0
14970,0.0
12995,0.0
16971,0.0
17257,0.0
8223,0.0
15073,1.0
3645,0.0
12151,1.0
13166,0.0
133,0.0
981,0.0
7682,0.0
16946,0.0
8731,0.0
17501,0.0
12222,0.0
128,0.0
9137,0.0
8344,0.0
893,0.0
2626,0.0
13163,0.0
16195,0.0
4940,0.0
6710,0.0
465,0.0
14857,0.0
7581,0.0
9969,0.0
12158,0.0
7535,0.0
15997,0.0
12604,0.0
8135,0.0
11302,0.0
14380,0.0
10605,0.0
15919,0.0
15817,1.0
3548,0.0
13685,1.0
13213,0.0
16544,1.0
2387,0.0
9449,1.0
4745,0.0
14059,0.0
1416,0.0
5643,0.0
4510,0.0
15516,0.0
7401,0.0
8463,0.0
2321,0.0
6356,0.0
6903,0.0
4873,0.0
14318,0.0
11914,0.0
9872,0.0
10491,0.0
13612,0.0
16931,0.0
16748,0.0
12712,0.0
11885,1.0
13550,0.0
15647,0.0
12571,0.0
12540,0.0
5136,0.0
14480,0.0
13155,0.0
7193,0.0
13858,0.0
15450,0.0
1895,0.0
3262,0.0
14170,0.0
5514,0.0
312,0.0
15243,0.0
15005,1.0
4770,0.0
17043,0.0
8569,0.0
11222,0.0
304,0.0
406,0.0
10334,0.0
5251,0.0
8219,0.0
4483,-1.0
5125,0.0
858,0.0
5195,0.0
14454,0.0
12379,0.0
12578,1.0
16204,0.0
3445,0.0
13021,1.0
245,0.0
15655,1.0
13853,0.0
11266,0.0
15948,0.0
16025,0.0
6465,0.0
4461,0.0
7799,0.0
17442,1.0
13032,0.0
11234,0.0
7801,0.0
6656,0.0
11461,0.0
4131,0.0
14191,1.0
16065,-1.0
1047,0.0
617,0.0
8264,0.0
15770,1.0
6424,0.0
10658,0.0
8030,0.0
11537,0.0
176,0.0
17027,0.0
15078,0.0
5414,0.0
4803,0.0
16835,0.0
4702,0.0
10877,0.0
13851,0.0
1489,0.0
4119,0.0
8825,0.0
16703,0.0
6039,0.0
10985,0.0
645,0.0
9304,0.0
3242,0.0
3476,0.0
8498,0.0
13503,0.0
6845,0.0
4072,0.0
7832,0.0
5294,0.0
908,0.0
353,0.0
8438,0.0
8910,0.0
6589,0.0
8332,0.0
2913,0.0
17039,0.0
3957,0.0
10104,0.0
4473,0.0
422,0.0
10828,1.0
3829,0.0
6746,0.0
10422,0.0
