,alpha
7801,1.0
6656,0.0
11461,1.0
4131,-1.0
14191,0.0
16065,-1.0
1047,0.0
617,1.0
8264,1.0
15770,-1.0
6424,-1.0
10658,-1.0
8030,1.0
11537,0.0
176,1.0
17027,1.0
15078,1.0
5414,1.0
4803,-1.0
16835,-1.0
4702,0.0
10877,-1.0
13851,0.0
1489,1.0
4119,0.0
8825,0.0
16703,1.0
6039,0.0
10985,0.0
645,1.0
9304,1.0
3242,0.0
3476,-1.0
8498,1.0
13503,-1.0
6845,-1.0
4072,0.0
7832,0.0
5294,1.0
908,-1.0
353,-1.0
8438,0.0
8910,1.0
6589,0.0
8332,1.0
2913,0.0
17039,-1.0
3957,0.0
10104,-1.0
4473,0.0
422,0.0
10828,1.0
3829,1.0
6746,1.0
10422,0.0
848,1.0
12709,0.0
12309,0.0
3997,1.0
4562,1.0
6667,-1.0
12950,0.0
8440,1.0
4601,-1.0
9549,-1.0
3008,1.0
6996,-1.0
1490,1.0
2498,1.0
17396,-1.0
9684,1.0
8036,0.0
5084,0.0
15509,-1.0
8886,1.0
17055,0.0
1682,-1.0
12004,0.0
14701,1.0
12952,1.0
7575,1.0
11533,-1.0
9170,1.0
14060,0.0
6281,0.0
8181,0.0
12006,1.0
651,0.0
12945,0.0
14290,0.0
1171,0.0
9891,1.0
12623,0.0
4950,1.0
8464,-1.0
4900,1.0
985,1.0
3621,0.0
7706,-1.0
14372,0.0
2721,-1.0
14256,-1.0
17423,0.0
737,1.0
2912,-1.0
16932,-1.0
2398,-1.0
13341,1.0
4951,1.0
5044,0.0
8311,1.0
17261,0.0
10972,1.0
13551,-1.0
5376,1.0
3215,-1.0
4376,-1.0
15230,-1.0
16572,-1.0
6234,0.0
5568,1.0
2671,0.0
8111,1.0
13380,0.0
11387,0.0
3201,0.0
5301,1.0
7138,0.0
4664,1.0
12558,-1.0
8848,0.0
13501,1.0
13658,0.0
10287,-1.0
10386,-1.0
5779,0.0
11928,0.0
7441,1.0
16611,-1.0
16746,1.0
7588,-1.0
2945,1.0
4919,1.0
12961,1.0
520,1.0
4649,0.0
16039,1.0
6557,1.0
9761,1.0
550,-1.0
9636,-1.0
1871,1.0
2051,-1.0
16331,0.0
12219,-1.0
10794,0.0
16169,-1.0
11209,0.0
4690,-1.0
15031,-1.0
10643,-1.0
14706,1.0
14738,-1.0
9576,0.0
17462,-1.0
4519,0.0
3689,-1.0
14704,-1.0
10588,-1.0
5616,1.0
3274,1.0
13400,0.0
7816,-1.0
12203,0.0
1880,1.0
3965,1.0
10939,1.0
11082,1.0
1782,0.0
8862,0.0
15059,0.0
13174,-1.0
9672,0.0
14819,0.0
10390,0.0
2692,0.0
4658,-1.0
4684,0.0
16022,-1.0
17127,-1.0
4350,1.0
10159,-1.0
13833,1.0
9659,1.0
13466,1.0
95,-1.0
7509,0.0
5295,1.0
8398,0.0
10799,1.0
897,-1.0
14039,0.0
14468,-1.0
7480,1.0
8919,-1.0
6811,0.0
4245,1.0
12600,-1.0
6567,-1.0
142,1.0
7961,0.0
7218,1.0
1717,0.0
15812,-1.0
16127,-1.0
526,1.0
640,0.0
399,0.0
14029,1.0
8436,0.0
17264,-1.0
5615,1.0
8202,0.0
1030,-1.0
3378,1.0
12436,-1.0
7147,1.0
6624,0.0
17562,1.0
16453,1.0
4277,0.0
7083,0.0
8200,0.0
4266,0.0
984,1.0
4410,1.0
14950,1.0
15296,-1.0
13365,0.0
12504,-1.0
11552,0.0
12947,0.0
16808,1.0
13969,1.0
10373,-1.0
10423,1.0
11811,-1.0
13377,-1.0
13416,1.0
14082,0.0
11681,1.0
6585,0.0
11669,0.0
14664,1.0
2190,0.0
4275,0.0
1406,1.0
6543,1.0
16673,-1.0
5754,1.0
5371,0.0
3276,1.0
3653,-1.0
185,-1.0
4296,0.0
2837,-1.0
5859,0.0
11354,-1.0
7385,1.0
16067,0.0
1408,1.0
2463,0.0
15891,1.0
6221,1.0
12206,1.0
3763,0.0
5778,1.0
16456,1.0
6919,0.0
5115,1.0
17019,1.0
3541,0.0
4050,0.0
2694,-1.0
13468,1.0
888,1.0
13867,1.0
8514,1.0
15472,1.0
4077,0.0
4640,1.0
5611,1.0
4880,-1.0
12923,-1.0
4463,1.0
15222,-1.0
1411,-1.0
11580,1.0
16124,1.0
11774,0.0
1556,1.0
14549,1.0
9442,1.0
17001,1.0
6189,-1.0
1907,0.0
15082,1.0
960,1.0
14374,-1.0
12448,-1.0
4709,1.0
7045,1.0
17307,-1.0
10384,0.0
11179,0.0
7886,1.0
10486,-1.0
8659,-1.0
8329,0.0
2832,0.0
2194,1.0
9451,0.0
4964,1.0
11513,0.0
7209,0.0
8713,1.0
4110,0.0
13022,0.0
6630,-1.0
13715,0.0
248,1.0
16341,1.0
4717,-1.0
7288,1.0
3800,1.0
4432,0.0
4085,1.0
7798,0.0
13303,1.0
13699,-1.0
2137,-1.0
8143,-1.0
16445,0.0
12901,1.0
5791,1.0
1102,1.0
11660,0.0
2502,-1.0
6841,1.0
1533,-1.0
2234,1.0
5201,0.0
3249,-1.0
2030,-1.0
3869,1.0
15137,0.0
14757,1.0
844,-1.0
7286,1.0
5439,1.0
10808,0.0
11145,1.0
4066,1.0
15725,1.0
2004,0.0
10400,-1.0
10561,0.0
9655,0.0
13298,1.0
11189,-1.0
13474,1.0
14518,1.0
8026,0.0
2799,1.0
16758,1.0
14506,-1.0
2555,1.0
14636,1.0
9531,1.0
12748,1.0
13373,-1.0
990,1.0
9177,1.0
12248,0.0
14693,1.0
6466,0.0
15177,0.0
5145,-1.0
8205,1.0
11804,1.0
2963,0.0
4459,0.0
5203,1.0
507,1.0
15429,0.0
1620,-1.0
15488,1.0
6122,0.0
8619,1.0
16506,1.0
4496,-1.0
5776,0.0
1916,0.0
10232,-1.0
4341,-1.0
14342,-1.0
3736,0.0
9661,1.0
14932,-1.0
16012,-1.0
871,1.0
16890,1.0
6387,1.0
7744,1.0
4327,-1.0
7525,-1.0
1787,1.0
7689,1.0
10996,-1.0
11943,0.0
7836,-1.0
15704,1.0
5714,1.0
9323,1.0
14250,0.0
6721,0.0
5515,1.0
7484,-1.0
11623,0.0
11080,1.0
9741,0.0
10191,1.0
2818,1.0
5089,-1.0
6430,1.0
14470,1.0
13308,1.0
7339,0.0
9289,0.0
4931,1.0
12855,0.0
9292,1.0
4697,1.0
11579,-1.0
10733,1.0
53,1.0
1721,1.0
16926,-1.0
1603,0.0
6962,0.0
1195,1.0
10062,1.0
14398,-1.0
3060,0.0
8365,1.0
5561,-1.0
5248,1.0
1668,1.0
13102,1.0
12896,0.0
9720,-1.0
4332,1.0
16937,1.0
2292,-1.0
16586,1.0
14856,-1.0
10374,-1.0
4104,0.0
13,1.0
12934,1.0
15422,0.0
17231,1.0
8295,0.0
15155,1.0
5105,0.0
7238,0.0
8401,1.0
12647,-1.0
15947,1.0
15897,1.0
13224,0.0
8468,-1.0
1390,0.0
3055,0.0
12551,-1.0
4781,0.0
5052,0.0
7564,1.0
11692,1.0
7060,0.0
4583,0.0
11624,0.0
1103,0.0
947,-1.0
288,0.0
1799,-1.0
1216,0.0
1875,0.0
10416,0.0
15855,1.0
1918,-1.0
2195,1.0
13935,0.0
9171,-1.0
16391,0.0
13835,1.0
11894,0.0
9578,0.0
16504,0.0
12918,1.0
15637,1.0
334,-1.0
16631,1.0
16063,1.0
16219,1.0
270,0.0
10214,-1.0
15117,1.0
2157,0.0
11115,0.0
12927,-1.0
14761,-1.0
14726,0.0
6646,1.0
8822,0.0
7587,0.0
8735,1.0
9835,1.0
3057,-1.0
1437,-1.0
5651,0.0
10079,0.0
4150,1.0
2468,-1.0
5836,1.0
1619,0.0
9658,1.0
12981,0.0
17165,-1.0
3576,-1.0
10244,0.0
12562,1.0
8503,0.0
5144,1.0
914,-1.0
8947,1.0
12366,1.0
7664,1.0
8847,0.0
10752,-1.0
9163,0.0
12677,-1.0
6435,0.0
4815,-1.0
14153,0.0
12276,0.0
1260,0.0
1628,0.0
17170,1.0
11512,1.0
4659,0.0
10912,-1.0
2029,1.0
12727,1.0
12681,-1.0
2384,1.0
12043,1.0
16566,-1.0
16697,0.0
11937,-1.0
16598,0.0
1449,0.0
4299,1.0
15915,1.0
8220,0.0
726,-1.0
10272,0.0
10004,1.0
1397,0.0
10555,-1.0
16152,0.0
2991,1.0
4704,1.0
12774,-1.0
12147,0.0
10217,0.0
3724,1.0
13815,-1.0
3704,-1.0
10842,0.0
39,-1.0
16827,-1.0
10534,-1.0
6789,0.0
3429,0.0
2560,0.0
8785,1.0
16112,1.0
11900,-1.0
13169,0.0
9114,0.0
10326,1.0
5314,1.0
14779,0.0
5233,-1.0
323,1.0
15319,0.0
3006,-1.0
5029,0.0
11182,0.0
17274,1.0
8243,1.0
15326,-1.0
8348,0.0
16459,-1.0
12857,-1.0
9448,0.0
6603,-1.0
262,0.0
14750,-1.0
13031,-1.0
5299,0.0
3483,0.0
5870,-1.0
3329,1.0
8953,1.0
15627,1.0
15545,1.0
4323,0.0
5045,0.0
2470,-1.0
2481,-1.0
2569,1.0
11573,1.0
5525,0.0
14211,0.0
632,1.0
13839,1.0
12502,1.0
479,0.0
4682,0.0
4941,0.0
10526,-1.0
1819,0.0
16627,0.0
2887,1.0
7396,0.0
48,-1.0
4416,0.0
3819,0.0
10571,-1.0
4966,0.0
4339,-1.0
6334,0.0
15147,1.0
14677,1.0
206,1.0
7966,0.0
16546,1.0
449,-1.0
14765,0.0
1812,-1.0
10995,1.0
8206,-1.0
8585,-1.0
14754,1.0
1365,0.0
13291,-1.0
4103,1.0
17321,1.0
11156,0.0
801,0.0
13152,1.0
10724,0.0
11695,-1.0
7519,1.0
3118,0.0
14587,0.0
9343,0.0
2240,-1.0
8884,1.0
7797,-1.0
4448,1.0
846,1.0
17063,1.0
9269,1.0
3891,0.0
3075,1.0
8545,1.0
2330,0.0
14609,0.0
15541,1.0
11181,-1.0
15271,1.0
775,0.0
1804,-1.0
588,1.0
13131,-1.0
3044,1.0
6063,1.0
24,0.0
1414,0.0
6308,0.0
14568,-1.0
5690,1.0
10900,-1.0
7772,1.0
438,0.0
14400,0.0
5047,1.0
6151,0.0
17482,-1.0
4942,1.0
14844,1.0
9119,0.0
13222,1.0
524,-1.0
15703,1.0
12031,-1.0
16873,-1.0
6792,1.0
10231,1.0
16577,-1.0
8692,-1.0
975,0.0
16613,1.0
2076,0.0
8226,1.0
8282,0.0
3691,1.0
3247,0.0
2998,1.0
17140,1.0
14855,1.0
8892,-1.0
13342,0.0
11293,1.0
3834,-1.0
3923,1.0
6279,0.0
7369,-1.0
8307,1.0
16803,-1.0
15083,-1.0
4847,0.0
6688,1.0
4163,1.0
895,0.0
11409,1.0
604,1.0
930,0.0
12780,1.0
12393,1.0
2104,1.0
16036,-1.0
11321,0.0
555,-1.0
3693,0.0
6552,0.0
3016,1.0
4047,0.0
7094,0.0
2177,0.0
11020,1.0
15605,0.0
8637,0.0
7815,1.0
11795,0.0
40,0.0
15428,0.0
13893,-1.0
10592,-1.0
15756,0.0
4038,1.0
12039,-1.0
1314,0.0
4488,-1.0
5341,1.0
1428,1.0
13617,-1.0
13282,0.0
11448,0.0
5831,-1.0
11068,1.0
13441,1.0
13319,0.0
9366,1.0
15548,-1.0
13069,-1.0
15126,0.0
4273,-1.0
10731,-1.0
17483,1.0
2391,0.0
8654,1.0
12553,-1.0
6248,1.0
14969,-1.0
3636,0.0
7759,0.0
15601,1.0
3418,-1.0
4628,1.0
10047,1.0
6048,0.0
12250,-1.0
16420,-1.0
16768,1.0
1583,-1.0
14310,-1.0
2472,0.0
2546,1.0
9128,-1.0
4417,-1.0
4200,1.0
15043,1.0
10068,0.0
12462,1.0
16993,1.0
13606,-1.0
10732,1.0
16559,-1.0
9675,1.0
11526,0.0
1665,0.0
9881,-1.0
12262,0.0
16676,0.0
16396,1.0
5416,0.0
10162,1.0
8734,0.0
7914,1.0
12631,-1.0
265,1.0
7470,0.0
13971,0.0
16530,-1.0
17148,0.0
1920,0.0
10653,0.0
11746,0.0
7269,-1.0
12547,-1.0
15173,0.0
13023,-1.0
14371,1.0
15926,1.0
8122,0.0
742,1.0
7796,0.0
11196,0.0
12441,1.0
12786,1.0
10023,1.0
17186,-1.0
5980,1.0
10751,1.0
3632,0.0
3108,0.0
10248,0.0
5665,-1.0
14748,0.0
