,alpha
3874,1
14370,0
16594,1
1329,1
12840,1
11407,1
4909,-1
1542,0
12201,0
17270,0
11418,0
161,0
15936,0
17047,-1
1168,0
2179,0
9905,0
15983,0
5508,0
9293,-1
14136,1
5247,0
2957,-1
1214,1
9113,0
12983,-1
12829,0
3159,1
17404,1
12596,-1
14872,1
6592,1
10497,0
1289,1
3076,0
11737,0
6779,0
5713,1
16856,0
16151,1
15014,0
6042,-1
10618,0
15793,1
12377,1
4752,1
11758,1
14846,1
10206,0
14852,1
9868,0
4306,1
9483,0
7884,0
6492,1
14840,-1
9139,0
2865,-1
2982,1
6110,0
14681,1
6709,-1
6225,0
6929,0
16154,1
10791,1
6629,0
6448,1
11500,1
10324,1
4057,1
1006,1
16498,1
16248,1
11479,1
2272,0
15274,1
10803,0
17042,1
4641,1
13001,0
3664,0
12293,1
7542,1
14993,0
3356,1
16033,1
12549,0
2196,0
5620,0
13591,1
14807,0
9840,1
16035,0
3202,-1
17169,1
3572,0
14103,0
4918,1
6037,-1
7144,0
13015,-1
7363,0
12369,1
559,0
4504,1
9194,0
33,0
10118,1
1926,1
5007,0
12026,1
7502,0
3222,0
7334,0
2705,0
6949,0
2549,1
2226,0
13574,1
1506,0
10508,0
4553,1
2002,1
373,-1
15712,0
1396,1
2376,0
16332,1
4484,1
12063,1
10532,1
6498,0
7018,1
14612,-1
1981,1
2638,1
3009,0
7100,-1
14789,1
10005,0
2219,0
14841,0
530,1
15964,1
12386,0
556,-1
10613,-1
11968,1
8782,0
14361,-1
14884,0
851,0
14101,-1
10885,0
7264,0
11392,1
13140,0
1441,0
11550,1
11337,-1
15292,0
5701,1
9523,-1
15576,0
11913,0
7746,0
4,1
6685,-1
14628,-1
16322,1
14295,1
4660,1
11223,-1
3203,0
10049,0
10292,1
9401,0
9653,0
8941,-1
5386,0
12264,1
3779,0
10124,-1
8952,0
473,0
10583,0
3627,1
11830,0
220,-1
2213,-1
16111,0
13587,-1
8088,1
5276,1
10346,-1
10557,1
15293,-1
