,alpha
14664,1
2190,0
4275,-1
1406,1
6543,-1
16673,-1
5754,0
5371,0
3276,0
3653,1
185,-1
4296,0
2837,-1
5859,0
11354,1
7385,-1
16067,0
1408,0
2463,0
15891,0
6221,0
12206,-1
3763,0
5778,-1
16456,1
6919,0
5115,1
17019,-1
3541,0
4050,0
2694,-1
13468,-1
888,1
13867,1
8514,1
15472,0
4077,0
4640,-1
5611,-1
4880,0
12923,-1
4463,-1
15222,1
1411,-1
11580,-1
16124,-1
11774,0
1556,-1
14549,-1
9442,-1
17001,0
6189,-1
1907,0
15082,-1
960,-1
14374,-1
12448,-1
4709,-1
7045,-1
17307,-1
10384,0
11179,0
7886,0
10486,1
8659,-1
8329,0
2832,0
2194,1
9451,0
4964,0
11513,0
7209,-1
8713,0
4110,0
13022,-1
6630,0
13715,0
248,-1
16341,0
4717,-1
7288,-1
3800,1
4432,0
4085,0
7798,-1
13303,-1
13699,-1
2137,1
8143,-1
16445,0
12901,-1
5791,-1
1102,0
11660,0
2502,-1
6841,-1
1533,0
2234,-1
5201,1
3249,-1
2030,-1
3869,0
15137,0
14757,-1
844,0
7286,0
5439,-1
10808,0
11145,1
4066,0
15725,-1
2004,0
10400,-1
10561,1
9655,0
13298,1
11189,-1
13474,1
14518,0
8026,0
2799,-1
16758,0
14506,-1
2555,1
14636,1
9531,0
12748,1
13373,-1
990,1
9177,0
12248,-1
14693,-1
6466,0
15177,-1
5145,-1
8205,0
11804,-1
2963,0
4459,-1
5203,-1
507,1
15429,-1
1620,-1
15488,-1
6122,-1
8619,-1
16506,-1
4496,0
5776,0
1916,0
10232,-1
4341,-1
14342,-1
3736,0
9661,1
14932,1
16012,-1
871,1
16890,0
6387,-1
7744,-1
4327,-1
7525,-1
1787,1
7689,-1
10996,-1
11943,-1
7836,-1
15704,-1
5714,0
9323,0
14250,0
6721,-1
5515,0
7484,-1
11623,-1
11080,1
9741,1
10191,1
2818,-1
5089,-1
6430,-1
14470,-1
13308,0
7339,1
9289,-1
4931,1
12855,0
9292,-1
4697,-1
11579,-1
10733,-1
53,1
1721,-1
16926,-1
1603,0
6962,0
1195,0
10062,-1
14398,0
3060,-1
8365,1
5561,-1
5248,1
1668,1
13102,-1
12896,0
9720,-1
4332,-1
16937,0
2292,-1
16586,1
14856,-1
10374,-1
4104,0
13,-1
12934,-1
15422,0
17231,0
8295,0
15155,0
5105,0
7238,0
8401,-1
12647,-1
15947,-1
15897,-1
13224,1
8468,-1
1390,1
3055,0
12551,-1
4781,-1
5052,0
7564,0
11692,-1
7060,0
4583,1
11624,0
1103,0
947,-1
288,0
1799,-1
1216,0
1875,0
10416,-1
15855,1
1918,-1
2195,1
13935,0
9171,-1
16391,0
13835,-1
11894,0
9578,0
16504,0
12918,-1
15637,0
334,-1
16631,1
16063,1
16219,0
270,0
10214,-1
15117,1
2157,-1
11115,0
12927,-1
14761,-1
14726,0
6646,-1
8822,0
7587,-1
8735,-1
9835,-1
3057,-1
1437,-1
5651,0
10079,0
4150,-1
2468,-1
5836,0
1619,0
9658,1
12981,0
17165,-1
3576,-1
10244,0
12562,1
8503,0
5144,1
914,-1
8947,1
12366,0
7664,0
8847,0
10752,-1
9163,0
12677,1
6435,0
4815,-1
14153,-1
12276,0
1260,0
1628,-1
17170,1
11512,-1
4659,-1
10912,-1
2029,1
12727,0
12681,-1
2384,-1
12043,0
16566,-1
16697,1
11937,1
16598,1
1449,0
4299,0
15915,-1
8220,0
726,-1
10272,0
10004,-1
1397,0
10555,-1
16152,-1
2991,0
4704,1
12774,0
12147,1
10217,1
3724,1
13815,-1
3704,-1
10842,0
39,1
16827,-1
10534,-1
6789,1
3429,0
2560,0
8785,-1
16112,-1
11900,-1
13169,0
9114,0
10326,1
5314,-1
14779,0
5233,1
323,1
15319,0
3006,-1
5029,0
11182,0
17274,-1
8243,1
15326,-1
8348,0
16459,-1
12857,-1
9448,0
6603,1
262,1
14750,-1
13031,0
5299,1
3483,0
5870,-1
3329,1
8953,0
15627,1
15545,-1
4323,0
5045,-1
2470,-1
2481,-1
2569,1
11573,-1
5525,0
14211,0
632,0
13839,1
12502,-1
479,1
4682,0
4941,0
10526,-1
1819,-1
16627,0
2887,-1
7396,-1
48,-1
4416,-1
3819,0
10571,1
4966,0
4339,-1
6334,0
15147,-1
14677,-1
206,0
7966,0
16546,0
449,-1
14765,0
1812,-1
10995,-1
8206,-1
8585,-1
14754,0
1365,-1
13291,0
4103,-1
17321,1
11156,0
801,0
13152,0
10724,0
11695,-1
7519,-1
3118,0
14587,0
9343,0
2240,-1
8884,0
7797,-1
4448,0
846,0
17063,1
9269,0
3891,0
3075,-1
8545,-1
2330,0
14609,0
15541,-1
11181,1
15271,-1
775,0
1804,-1
588,1
13131,-1
3044,-1
6063,-1
24,-1
1414,-1
6308,0
14568,-1
5690,0
10900,-1
7772,-1
438,0
14400,0
5047,0
6151,-1
17482,-1
4942,0
14844,-1
9119,0
13222,1
524,-1
15703,-1
12031,1
16873,-1
6792,0
10231,-1
16577,1
8692,-1
975,0
16613,0
2076,0
8226,-1
8282,0
3691,1
3247,0
2998,-1
17140,-1
14855,-1
8892,-1
13342,0
11293,0
3834,-1
3923,-1
6279,0
7369,-1
8307,-1
16803,-1
15083,-1
4847,0
6688,0
4163,-1
895,0
11409,1
604,-1
930,0
12780,1
12393,0
2104,-1
16036,-1
11321,0
555,-1
3693,0
6552,1
3016,-1
4047,0
7094,0
2177,0
11020,-1
15605,0
8637,0
7815,-1
11795,0
40,0
15428,0
13893,-1
10592,-1
15756,0
4038,0
12039,-1
1314,1
4488,1
5341,1
1428,1
13617,-1
13282,0
11448,-1
5831,-1
11068,1
13441,-1
13319,0
9366,-1
15548,-1
13069,-1
15126,0
4273,1
10731,-1
17483,0
2391,0
8654,-1
12553,-1
6248,-1
14969,-1
3636,0
7759,0
15601,0
3418,1
4628,-1
10047,1
6048,0
12250,0
16420,-1
16768,1
1583,-1
14310,-1
2472,-1
2546,1
9128,-1
4417,-1
4200,1
15043,0
10068,0
12462,1
16993,-1
13606,-1
10732,1
16559,-1
9675,-1
11526,0
1665,0
9881,-1
12262,0
16676,0
16396,0
5416,0
10162,0
8734,0
7914,1
12631,-1
265,-1
7470,0
13971,0
16530,1
17148,0
1920,0
10653,0
11746,0
7269,-1
12547,-1
15173,0
13023,-1
14371,-1
15926,-1
8122,1
742,1
7796,1
11196,0
12441,-1
12786,1
10023,0
17186,1
5980,-1
10751,0
3632,0
3108,0
10248,0
5665,-1
14748,0
15494,0
16599,0
8461,1
7646,-1
7743,1
3619,-1
12495,0
8031,-1
179,0
8373,0
12861,-1
13962,-1
6970,-1
10018,-1
2005,0
11124,-1
10482,1
4774,-1
225,-1
11089,0
16738,1
10407,-1
7611,0
5458,0
14174,0
1401,-1
5874,0
17104,0
4821,-1
7009,-1
3402,0
9954,0
16568,0
12910,-1
6182,0
5640,-1
10795,-1
16929,0
13013,1
5807,0
10266,0
2153,-1
3593,-1
7809,0
8534,-1
5934,1
607,-1
13705,1
10219,-1
16711,-1
14594,0
10277,-1
13513,-1
7597,1
15145,0
2476,0
15176,-1
14615,-1
4255,-1
17574,0
11850,-1
4052,0
5282,0
10126,-1
12494,1
11593,-1
4061,0
3019,-1
5293,1
10157,1
14724,-1
1409,1
1652,-1
15692,1
7106,-1
15170,-1
3234,0
7044,-1
11960,-1
5950,0
711,1
1643,-1
2441,0
1508,-1
10826,-1
2208,-1
6236,-1
15432,-1
5196,-1
17469,-1
11004,-1
9752,-1
15001,0
14803,-1
462,-1
1463,0
1364,-1
3323,0
3668,0
16633,0
13281,-1
7022,-1
12782,-1
8855,0
8473,0
1151,1
17233,-1
14918,1
269,0
9888,0
12539,1
13797,-1
14205,1
5242,0
14271,1
13039,-1
12804,0
10117,1
17219,-1
15440,-1
10501,0
13593,0
4819,1
15643,-1
12902,0
13636,0
6206,-1
17214,0
16413,-1
15596,0
10113,-1
1484,1
4653,0
1351,0
7775,1
10285,-1
7804,0
896,1
1759,1
6744,1
12236,-1
16747,-1
11125,0
4367,0
9432,0
5126,-1
14987,0
2456,0
420,1
16606,-1
1900,1
2542,-1
7872,0
36,1
6411,0
14111,0
13830,0
4209,-1
1033,-1
9231,-1
8268,0
16685,1
1013,-1
11174,-1
11571,-1
10999,-1
10951,-1
15342,0
10280,-1
15720,0
2824,0
834,0
16585,0
11194,-1
14151,0
6208,1
14390,-1
6463,1
7881,0
12060,1
11141,0
14117,0
9417,1
12394,-1
9012,0
13349,0
428,0
9736,1
4246,0
14146,-1
2955,0
8249,0
3776,1
1127,-1
3556,0
15123,-1
6928,-1
10896,1
14144,-1
2764,-1
1805,1
10525,-1
4426,1
1405,0
7631,-1
3949,-1
15097,-1
7227,-1
16409,-1
2444,1
13811,0
1239,0
6165,-1
4083,-1
890,-1
14299,1
11127,0
3132,0
8539,0
14949,0
15923,-1
10578,-1
10459,0
14227,-1
4076,0
7030,-1
14147,-1
495,-1
3803,-1
2151,0
10109,0
10902,0
12895,-1
7279,0
5732,0
4335,0
4073,0
932,1
15307,-1
10864,0
3411,-1
5212,0
8376,-1
15004,1
3874,-1
14370,-1
16594,1
1329,-1
12840,-1
11407,0
4909,-1
1542,1
12201,0
17270,0
11418,0
161,1
15936,0
17047,0
1168,-1
2179,-1
9905,0
15983,0
5508,1
9293,1
14136,-1
5247,-1
2957,0
1214,0
9113,0
12983,-1
12829,0
3159,-1
17404,1
12596,1
14872,-1
6592,-1
10497,-1
1289,-1
3076,0
11737,0
6779,-1
5713,-1
16856,0
16151,-1
15014,1
6042,-1
10618,1
15793,-1
12377,1
4752,-1
11758,-1
14846,-1
10206,0
14852,-1
9868,0
4306,-1
9483,1
7884,-1
6492,-1
14840,0
9139,-1
2865,-1
2982,-1
6110,0
14681,-1
6709,-1
6225,-1
6929,0
16154,-1
10791,1
6629,0
6448,-1
11500,-1
10324,0
4057,-1
1006,-1
16498,-1
16248,1
11479,-1
2272,0
15274,-1
10803,0
17042,-1
4641,-1
13001,0
3664,-1
12293,-1
7542,-1
14993,0
3356,1
16033,-1
12549,0
2196,0
5620,0
13591,1
14807,0
9840,0
16035,1
3202,0
17169,-1
3572,0
14103,-1
4918,-1
6037,0
7144,0
13015,0
7363,1
12369,-1
559,-1
4504,-1
9194,1
33,-1
10118,1
1926,0
5007,0
12026,-1
7502,-1
3222,0
7334,0
2705,-1
6949,0
2549,-1
2226,0
13574,1
1506,0
10508,0
4553,-1
2002,-1
373,1
15712,-1
1396,-1
2376,1
16332,-1
4484,-1
12063,-1
10532,0
6498,0
7018,0
14612,-1
1981,-1
2638,1
3009,-1
7100,-1
14789,1
10005,0
2219,-1
14841,-1
530,-1
15964,1
12386,1
556,0
10613,0
11968,-1
8782,0
14361,1
14884,0
851,0
14101,1
10885,0
7264,0
11392,-1
13140,-1
1441,0
11550,-1
11337,-1
15292,0
5701,-1
9523,1
15576,0
11913,0
7746,1
4,-1
6685,-1
14628,0
16322,-1
14295,-1
4660,0
11223,1
3203,-1
10049,0
10292,-1
9401,0
9653,1
8941,1
5386,0
12264,-1
3779,0
10124,1
8952,-1
473,-1
10583,-1
3627,1
11830,0
220,0
2213,1
16111,-1
13587,-1
8088,0
5276,-1
10346,0
10557,1
15293,0
10176,0
4062,1
13002,-1
11793,0
9208,0
6162,-1
2641,0
16744,0
11984,0
11390,-1
539,-1
4874,-1
13006,-1
13339,-1
14753,1
10570,1
486,-1
17163,1
8012,1
5674,-1
659,-1
14749,-1
15888,-1
16829,1
5331,-1
7290,0
2706,1
7111,-1
1631,1
14278,0
11326,0
12756,0
7991,0
11564,0
9532,1
14462,0
15360,-1
6580,-1
10740,-1
13327,-1
15196,0
15566,1
10866,-1
13829,-1
1585,0
16981,1
7453,1
10640,1
7282,0
9529,0
5063,-1
14624,-1
12370,0
6561,-1
17056,-1
14647,0
2142,1
14551,0
6303,0
13313,0
15476,-1
5943,-1
11883,-1
1486,-1
576,-1
8751,-1
9985,0
1221,0
5344,0
4520,0
3720,-1
5100,0
3667,1
2750,0
4125,0
15330,-1
3179,0
10550,1
310,0
10098,-1
14489,0
9490,0
3700,0
15993,0
90,-1
7565,-1
5907,0
2339,1
15534,0
16187,-1
12194,-1
9512,-1
16353,0
11752,-1
9918,1
5924,0
7089,0
5793,0
16259,0
1426,0
1340,0
6032,0
2733,1
10328,-1
6533,-1
7927,1
15062,-1
11810,-1
10279,1
7006,0
12164,0
5151,0
873,-1
8068,1
9910,0
8685,0
15340,-1
9713,-1
15505,1
4986,-1
5726,0
13922,-1
7323,0
1194,0
6677,0
14007,0
164,1
16315,-1
6009,0
16900,-1
13449,-1
16222,0
13828,0
16046,1
215,0
12982,0
7859,0
9960,0
15288,-1
15565,-1
7544,-1
8207,-1
11687,-1
14433,1
6071,-1
7904,0
12357,-1
12606,1
14953,0
3260,0
13718,-1
15132,0
3007,-1
13889,0
16914,0
4443,-1
15312,0
12755,1
4145,0
14747,-1
4594,-1
3662,1
16229,1
13362,0
6328,-1
5734,-1
6978,-1
2646,0
11215,-1
17390,1
8618,1
11903,0
12065,1
12626,0
14366,-1
355,-1
1517,-1
5752,0
1516,0
6635,1
4368,1
7745,0
12762,0
9595,0
7263,-1
13560,0
12439,0
16295,0
14966,-1
5951,0
10872,1
2516,0
3862,-1
17045,-1
6470,0
3221,0
16996,1
10042,0
1097,-1
143,1
11721,0
11668,-1
13154,0
15191,-1
1350,-1
4732,0
10021,0
16178,0
17453,0
4788,0
14831,0
506,1
7956,0
8245,0
14274,1
2713,1
16468,1
16539,0
16701,-1
8665,-1
11866,-1
4677,0
3680,0
6704,0
17102,-1
17244,0
17069,-1
7102,-1
2249,0
9146,1
16220,0
9179,-1
10909,1
10455,-1
7877,0
6988,-1
13147,1
404,1
903,-1
10128,1
363,0
11879,-1
17272,-1
4597,0
2308,1
11006,0
15607,0
11727,-1
5232,1
11167,-1
656,0
5396,0
1700,0
8799,1
10134,-1
5961,0
12506,1
3475,1
1746,0
15193,-1
16311,0
4398,-1
16680,-1
12715,0
17187,0
8431,-1
3020,0
5928,-1
8405,1
6870,0
4197,0
15587,0
13422,0
13494,-1
12117,-1
16045,-1
6327,0
12770,0
13227,-1
1293,1
14123,-1
7296,-1
6014,1
2474,-1
13963,-1
15698,-1
2003,-1
11627,0
8655,0
15302,-1
15142,0
8850,0
11200,0
531,-1
3479,1
15966,1
3723,-1
12936,0
3125,-1
5896,1
1878,0
4871,-1
16411,1
10308,-1
6216,-1
1680,0
10968,1
9397,0
14643,0
11441,1
13184,-1
3759,1
17432,-1
6731,0
1461,0
2304,-1
826,-1
4109,-1
4347,0
6659,0
15531,0
613,1
381,0
2947,0
6556,-1
13272,0
4384,1
11809,-1
16076,-1
4923,0
10306,0
13941,-1
3168,1
2999,1
15215,1
3250,-1
2811,0
14427,1
12300,-1
1136,-1
12185,-1
14576,0
2670,-1
8260,0
3674,1
15099,-1
10145,0
15709,-1
1605,1
7633,0
6882,0
878,0
15386,-1
5783,-1
8125,-1
3523,1
11920,0
2446,-1
6554,0
16414,-1
14095,-1
14430,1
16061,0
392,0
13382,1
10193,1
16320,-1
12217,-1
6649,-1
11636,0
15469,-1
11176,0
14378,0
7969,0
15495,1
1614,-1
16828,-1
1637,-1
8992,0
1321,0
13657,-1
5272,0
11829,-1
3801,0
3872,1
7953,0
5708,0
6332,-1
12821,0
13601,0
4032,1
14414,1
7931,0
16849,-1
14407,0
12391,-1
9677,0
11250,-1
6662,-1
1858,1
6073,-1
2633,1
9081,0
7959,1
16810,-1
2270,0
6674,-1
13316,-1
13598,0
14963,0
1391,1
15225,0
371,-1
4920,-1
2329,-1
17010,0
13003,-1
9438,-1
7805,1
8252,0
1169,0
3252,-1
2487,1
15076,0
17555,-1
7333,-1
14437,-1
8056,-1
11703,-1
88,1
11933,0
6036,0
2246,0
5348,1
13779,0
2168,0
12689,1
3527,1
1902,-1
4457,1
4389,-1
9671,1
894,1
13896,-1
3562,-1
2698,0
717,-1
17132,-1
7679,-1
4318,0
1067,-1
12736,0
7970,0
15331,-1
