,alpha
3118,0
14587,0
9343,-1
2240,1
8884,-1
7797,-1
4448,0
846,0
17063,-1
9269,0
3891,1
3075,-1
8545,0
2330,0
14609,0
15541,-1
11181,-1
15271,0
775,0
1804,-1
588,-1
13131,1
3044,-1
6063,0
24,1
1414,0
6308,0
14568,-1
5690,0
10900,1
7772,-1
438,0
14400,1
5047,-1
6151,-1
17482,-1
4942,0
14844,-1
9119,0
13222,1
524,1
15703,-1
12031,1
16873,1
6792,0
10231,-1
16577,0
8692,-1
975,-1
16613,0
2076,0
8226,-1
8282,0
3691,1
3247,0
2998,-1
17140,-1
14855,-1
8892,-1
13342,0
11293,0
3834,-1
3923,1
6279,-1
7369,1
8307,0
16803,-1
15083,-1
4847,1
6688,0
4163,-1
895,-1
11409,-1
604,-1
930,0
12780,1
12393,0
2104,0
16036,1
11321,0
555,-1
3693,-1
6552,-1
3016,-1
4047,0
7094,1
2177,1
11020,0
15605,1
8637,0
7815,-1
11795,0
40,1
15428,0
13893,-1
10592,0
15756,0
4038,0
12039,-1
1314,1
4488,-1
5341,1
1428,1
13617,1
13282,0
11448,0
5831,0
11068,1
13441,1
13319,1
9366,-1
15548,-1
13069,-1
15126,0
4273,1
10731,-1
17483,-1
2391,-1
8654,-1
12553,1
6248,-1
14969,1
3636,1
7759,0
15601,-1
3418,0
4628,1
10047,1
6048,-1
12250,-1
16420,1
16768,1
1583,1
14310,-1
2472,-1
2546,0
9128,-1
4417,0
4200,-1
15043,0
10068,1
12462,1
16993,-1
13606,1
10732,1
16559,-1
9675,1
11526,1
1665,1
9881,1
12262,0
16676,0
16396,-1
5416,-1
10162,0
8734,1
7914,-1
12631,1
265,1
7470,0
13971,1
16530,0
17148,0
1920,0
10653,0
11746,1
7269,-1
12547,-1
15173,-1
13023,-1
14371,-1
15926,-1
8122,1
742,0
7796,1
11196,1
12441,-1
12786,-1
10023,0
17186,-1
5980,0
10751,0
3632,0
3108,1
10248,-1
5665,-1
14748,-1
15494,0
16599,0
8461,-1
7646,1
7743,1
3619,-1
12495,-1
8031,-1
179,0
8373,0
12861,1
13962,0
6970,1
10018,-1
2005,1
11124,1
