,alpha
12010,-1
12011,-1
12012,-1
12013,1
12014,-1
12015,0
12016,0
12017,0
12018,1
12019,1
12020,-1
12021,-1
12022,0
12023,1
12024,1
12025,0
12026,1
12027,1
12028,0
12029,1
12030,0
12031,-1
12032,1
12033,0
12034,1
12035,1
12036,1
12037,1
12038,-1
12039,0
12040,0
12041,1
12042,1
12043,-1
12044,0
12045,1
12046,-1
12047,1
12048,0
12049,0
12050,1
12051,0
12052,1
12053,0
12054,1
12055,0
12056,0
12057,-1
12058,-1
12059,0
12060,-1
12061,0
12062,0
12063,1
12064,0
12065,-1
12066,1
12067,1
12068,-1
12069,0
12070,1
12071,0
12072,1
12073,1
12074,1
12075,0
12076,0
12077,1
12078,-1
12079,1
12080,0
12081,-1
12082,1
12083,0
12084,0
12085,1
12086,0
12087,1
12088,0
12089,-1
12090,0
12091,1
12092,1
12093,0
12094,0
12095,0
12096,1
12097,0
12098,0
12099,0
12100,1
12101,0
12102,1
12103,0
12104,1
12105,-1
12106,1
12107,0
12108,0
12109,-1
12110,-1
12111,1
12112,1
12113,-1
12114,0
12115,1
12116,0
12117,1
12118,1
12119,0
12120,0
12121,1
12122,0
12123,1
12124,1
12125,0
12126,-1
12127,1
12128,0
12129,0
12130,1
12131,0
12132,1
12133,0
12134,-1
12135,0
12136,0
12137,1
12138,0
12139,-1
12140,-1
12141,-1
12142,0
12143,1
12144,-1
12145,-1
12146,-1
12147,1
12148,1
12149,0
12150,1
12151,1
12152,0
12153,1
12154,-1
12155,-1
12156,1
12157,0
12158,-1
12159,-1
12160,-1
12161,1
12162,1
12163,1
12164,-1
12165,0
12166,-1
12167,0
12168,0
12169,1
12170,0
12171,1
12172,0
12173,1
12174,1
12175,-1
12176,0
12177,-1
12178,-1
12179,0
12180,-1
12181,1
12182,1
12183,1
12184,0
12185,-1
12186,1
12187,1
12188,1
12189,-1
12190,1
12191,-1
12192,1
12193,0
12194,1
12195,0
12196,0
12197,1
12198,-1
12199,0
12200,-1
12201,1
12202,0
12203,-1
12204,0
12205,1
12206,0
12207,1
12208,1
12209,1
12210,1
12211,1
12212,-1
12213,1
12214,1
12215,-1
12216,1
12217,-1
12218,1
12219,-1
12220,-1
12221,1
12222,0
12223,1
12224,1
12225,1
12226,0
12227,0
12228,-1
12229,-1
12230,0
12231,0
12232,0
12233,1
12234,0
12235,0
12236,-1
12237,-1
12238,0
12239,-1
12240,0
12241,1
12242,1
12243,1
12244,0
12245,0
12246,0
12247,-1
12248,0
12249,-1
12250,-1
12251,-1
12252,0
12253,1
12254,0
12255,0
12256,0
12257,-1
12258,-1
12259,0
12260,-1
12261,1
12262,1
12263,1
12264,-1
12265,0
12266,1
12267,0
12268,1
12269,-1
12270,1
12271,1
12272,0
12273,-1
12274,0
12275,1
12276,1
12277,-1
12278,0
12279,-1
12280,1
12281,0
12282,1
12283,0
