,alpha
11996,0
11997,0
11998,-1
11999,0
12000,0
12001,0
12002,-1
12003,0
12004,0
12005,-1
12006,0
12007,-1
12008,0
12009,0
12010,-1
12011,0
12012,0
12013,0
12014,0
12015,0
12016,-1
12017,1
12018,-1
12019,0
12020,-1
12021,0
12022,0
12023,-1
12024,1
12025,0
12026,-1
12027,1
12028,1
12029,1
12030,1
12031,-1
12032,-1
12033,0
12034,-1
12035,-1
12036,0
12037,-1
12038,-1
12039,1
12040,0
12041,-1
12042,-1
12043,0
12044,-1
12045,-1
12046,0
12047,-1
12048,1
12049,-1
12050,-1
12051,1
12052,-1
12053,0
12054,-1
12055,0
12056,0
12057,0
12058,0
12059,0
12060,-1
12061,1
12062,0
12063,-1
12064,0
12065,0
12066,1
12067,1
12068,-1
12069,-1
12070,0
12071,0
12072,0
12073,-1
12074,0
12075,0
12076,0
12077,-1
12078,-1
12079,-1
12080,0
12081,1
12082,0
12083,0
12084,1
12085,-1
12086,-1
12087,-1
12088,0
12089,-1
12090,-1
12091,0
12092,0
12093,0
12094,0
12095,-1
12096,1
12097,0
12098,0
12099,0
12100,0
12101,0
12102,0
12103,-1
12104,0
12105,0
12106,1
12107,0
12108,0
12109,0
12110,-1
12111,-1
12112,0
12113,0
12114,1
12115,-1
12116,1
12117,1
12118,-1
12119,-1
12120,1
12121,-1
12122,0
12123,-1
12124,1
12125,0
12126,-1
12127,0
12128,-1
12129,0
12130,0
12131,-1
12132,1
12133,-1
12134,1
12135,-1
12136,-1
12137,0
12138,-1
12139,1
12140,1
12141,-1
12142,0
12143,1
12144,1
12145,0
12146,-1
12147,1
12148,1
12149,0
12150,0
12151,-1
12152,-1
12153,1
12154,-1
12155,-1
12156,1
12157,-1
12158,1
12159,0
12160,0
12161,-1
12162,0
12163,0
12164,-1
12165,-1
12166,0
12167,1
12168,0
12169,0
12170,0
12171,-1
12172,0
12173,-1
12174,0
12175,-1
12176,0
12177,1
12178,0
12179,0
12180,0
12181,0
12182,0
12183,1
12184,-1
12185,-1
12186,-1
12187,1
12188,0
12189,0
12190,-1
12191,-1
12192,-1
12193,1
12194,-1
12195,-1
12196,1
12197,-1
12198,0
12199,-1
12200,-1
12201,1
12202,-1
12203,-1
12204,1
12205,-1
12206,-1
12207,0
12208,1
12209,0
12210,-1
12211,-1
12212,0
12213,0
12214,0
12215,-1
12216,0
12217,0
12218,0
12219,-1
12220,0
12221,1
12222,1
12223,0
12224,-1
12225,1
12226,0
12227,-1
12228,0
12229,-1
12230,1
12231,-1
12232,-1
12233,0
12234,1
12235,0
12236,1
12237,-1
12238,0
12239,0
12240,1
12241,0
12242,0
12243,-1
12244,0
12245,-1
12246,0
12247,0
12248,1
12249,0
12250,-1
12251,-1
12252,1
12253,-1
12254,1
12255,-1
12256,-1
12257,-1
12258,0
12259,-1
12260,1
12261,0
12262,0
12263,1
12264,1
12265,-1
12266,0
12267,0
12268,-1
12269,0
12270,1
12271,0
12272,-1
